opp,datetime,stadium,attribute_3,attribute_4,competition,ranking,possession,expected_goals_(xg),total_shots,shots_on_target,big_chances,big_chances_missed,accurate_passes,accurate_passes_pc,fouls_committed,corners,shots_off_target,blocked_shots,hit_woodwork,shots_inside_box,shots_outside_box,xg_open_play,xg_set_play,non-penalty_xg,xg_on_target_(xgot),passes,own_half,opposition_half,accurate_long_balls,accurate_long_balls_pc,accurate_crosses,accurate_crosses_pc,throws,offsides,yellow_cards,red_cards,tackles_won,tackles_won_pc,interceptions,blocks,clearances,keeper_saves,duels_won,ground_duels_won,ground_duels_won_pc,aerial_duels_won,aerial_duels_won_pc,successful_dribbles,successful_dribbles_pc,game_id,touches_in_opposition_box,team,opp_ranking,opp_possession,conc_expected_goals_(xg),conc_total_shots,conc_shots_on_target,conc_big_chances,conc_big_chances_missed,conc_accurate_passes,conc_accurate_passes_pc,conc_fouls_committed,conc_corners,conc_shots_off_target,conc_blocked_shots,conc_hit_woodwork,conc_shots_inside_box,conc_shots_outside_box,conc_xg_open_play,conc_xg_set_play,conc_non-penalty_xg,conc_xg_on_target_(xgot),conc_passes,conc_own_half,conc_opposition_half,conc_accurate_long_balls,conc_accurate_long_balls_pc,conc_accurate_crosses,conc_accurate_crosses_pc,conc_throws,conc_touches_in_opposition_box,conc_offsides,conc_yellow_cards,conc_red_cards,conc_tackles_won,conc_tackles_won_pc,conc_interceptions,conc_blocks,conc_clearances,conc_keeper_saves,conc_duels_won,conc_ground_duels_won,conc_ground_duels_won_pc,conc_aerial_duels_won,conc_aerial_duels_won_pc,conc_successful_dribbles,conc_successful_dribbles_pc
Slovakia,2024-03-26T18:00:00.000Z,Ullevaal Stadion,Giorgi Kruashvili,"9,099",Friendlies,47,58.0,,19,6,5.0,4.0,468,87.0,13,10,7.0,6.0,1.0,18.0,1.0,,,,,538,285.0,183.0,30.0,58.0,8.0,29.0,14.0,0,1.0,0.0,3.0,50.0,7.0,1.0,10.0,1.0,44.0,30.0,46.0,14.0,82.0,13.0,50.0,1510,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,2024-03-26T18:00:00.000Z,Puskás Aréna,Ovidiu Alin Hațegan,"67,215",Friendlies,102,53.0,,11,0,0.0,0.0,437,87.0,13,5,4.0,7.0,0.0,6.0,5.0,,,,,505,245.0,192.0,35.0,59.0,4.0,21.0,21.0,2,5.0,0.0,9.0,69.0,4.0,2.0,14.0,1.0,37.0,28.0,47.0,9.0,41.0,8.0,67.0,1508,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,2024-03-26T18:00:00.000Z,Puskás Aréna,Ovidiu Alin Hațegan,"67,215",Friendlies,26,47.0,,9,3,1.0,0.0,361,81.0,8,3,4.0,2.0,0.0,5.0,4.0,,,,,447,260.0,101.0,20.0,43.0,5.0,31.0,19.0,2,0.0,0.0,8.0,67.0,9.0,7.0,15.0,0.0,44.0,31.0,53.0,13.0,59.0,6.0,46.0,1508,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,2024-03-26T18:00:00.000Z,Ullevaal Stadion,Giorgi Kruashvili,"9,099",Friendlies,48,42.0,,11,2,3.0,2.0,336,85.0,13,3,8.0,1.0,0.0,7.0,4.0,,,,,397,215.0,121.0,22.0,56.0,2.0,17.0,13.0,1,1.0,0.0,6.0,43.0,18.0,7.0,30.0,4.0,38.0,35.0,54.0,3.0,18.0,8.0,73.0,1510,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,2024-03-26T19:00:00.000Z,epet ARENA,Julian Weinberger,"16,158",Friendlies,36,67.0,,2,2,,,,,0,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechia,2024-03-26T19:00:00.000Z,epet ARENA,Julian Weinberger,"16,158",Friendlies,95,33.0,,1,1,,,,,0,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,2024-03-26T19:15:00.000Z,Brøndby Stadion,Philip Farrugia,"17,332",Friendlies,21,64.0,,19,8,4.0,2.0,600,87.0,8,8,3.0,8.0,0.0,14.0,5.0,,,,,692,184.0,416.0,54.0,77.0,11.0,34.0,19.0,2,0.0,0.0,10.0,71.0,5.0,2.0,10.0,1.0,46.0,28.0,53.0,18.0,69.0,7.0,54.0,1514,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,2024-03-26T19:15:00.000Z,Brøndby Stadion,Philip Farrugia,"17,332",Friendlies,133,36.0,,7,2,0.0,0.0,308,79.0,7,3,4.0,1.0,0.0,4.0,3.0,,,,,389,192.0,116.0,25.0,50.0,2.0,29.0,18.0,2,0.0,0.0,7.0,64.0,14.0,8.0,37.0,6.0,33.0,25.0,47.0,8.0,31.0,6.0,40.0,1514,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,2024-03-26T19:30:00.000Z,Stade Bollaert-Delelis,Ruddy Buquet,"15,000",Friendlies,38,40.0,,6,2,1.0,1.0,290,80.0,12,5,2.0,2.0,0.0,4.0,2.0,,,,,364,196.0,94.0,24.0,49.0,4.0,31.0,17.0,0,2.0,0.0,7.0,78.0,12.0,2.0,13.0,2.0,32.0,28.0,43.0,4.0,21.0,5.0,31.0,1515,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivory Coast,2024-03-26T19:30:00.000Z,Stade Bollaert-Delelis,Ruddy Buquet,"15,000",Friendlies,15,60.0,,14,3,0.0,0.0,480,87.0,15,4,9.0,2.0,0.0,6.0,8.0,,,,,553,213.0,267.0,32.0,76.0,3.0,20.0,22.0,1,2.0,0.0,17.0,74.0,8.0,2.0,12.0,1.0,52.0,37.0,57.0,15.0,79.0,3.0,33.0,1515,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,2024-03-26T19:30:00.000Z,,,,Friendlies,46,38.0,,14,5,4.0,3.0,290,80.0,7,6,7.0,2.0,0.0,9.0,5.0,,,,,362,183.0,107.0,24.0,55.0,5.0,42.0,16.0,2,2.0,0.0,13.0,62.0,4.0,3.0,8.0,3.0,42.0,39.0,57.0,3.0,43.0,4.0,33.0,1516,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,2024-03-26T19:30:00.000Z,,,,Friendlies,12,62.0,,12,6,2.0,0.0,547,90.0,14,4,3.0,3.0,0.0,11.0,1.0,,,,,611,303.0,244.0,25.0,52.0,4.0,40.0,16.0,4,2.0,0.0,13.0,87.0,11.0,2.0,11.0,3.0,33.0,29.0,43.0,4.0,57.0,7.0,47.0,1516,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,2024-03-26T19:45:00.000Z,Stadion Stožice,Irfan Peljto,"16,432",Friendlies,6,64.0,,10,2,1.0,1.0,689,93.0,13,4,7.0,1.0,1.0,7.0,3.0,,,,,742,254.0,435.0,26.0,72.0,5.0,22.0,9.0,2,2.0,0.0,7.0,64.0,14.0,2.0,7.0,2.0,49.0,37.0,47.0,12.0,60.0,14.0,48.0,1524,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,2024-03-26T19:45:00.000Z,Stadion Stožice,Irfan Peljto,"16,432",Friendlies,57,36.0,,8,4,1.0,0.0,332,81.0,13,2,2.0,2.0,0.0,6.0,2.0,,,,,410,230.0,102.0,25.0,50.0,1.0,14.0,13.0,3,2.0,0.0,16.0,64.0,7.0,1.0,21.0,2.0,49.0,41.0,53.0,8.0,40.0,4.0,33.0,1524,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,2024-03-26T19:45:00.000Z,Hampden Park,Robert Jones,"45,000",Friendlies,73,18.0,,4,1,1.0,1.0,108,63.0,13,1,3.0,0.0,0.0,2.0,2.0,,,,,172,59.0,49.0,8.0,19.0,0.0,0.0,14.0,4,1.0,0.0,12.0,75.0,8.0,8.0,29.0,2.0,36.0,24.0,38.0,12.0,41.0,3.0,33.0,1523,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2024-03-26T19:45:00.000Z,Hampden Park,Robert Jones,"45,000",Friendlies,39,82.0,,14,2,1.0,1.0,711,90.0,7,7,4.0,8.0,0.0,7.0,7.0,,,,,794,349.0,362.0,29.0,58.0,10.0,34.0,34.0,2,1.0,0.0,13.0,87.0,4.0,0.0,4.0,0.0,57.0,40.0,63.0,17.0,59.0,14.0,64.0,1523,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,2024-03-26T19:45:00.000Z,Aviva Stadium,Paweł Raczkowski,"35,742",Friendlies,19,51.0,,8,3,1.0,1.0,435,85.0,13,3,3.0,2.0,1.0,2.0,6.0,,,,,509,285.0,150.0,22.0,47.0,1.0,13.0,16.0,0,2.0,0.0,10.0,71.0,6.0,2.0,23.0,1.0,37.0,28.0,44.0,9.0,39.0,6.0,40.0,1521,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,2024-03-26T19:45:00.000Z,Aviva Stadium,Paweł Raczkowski,"35,742",Friendlies,60,49.0,,8,1,0.0,0.0,389,82.0,8,4,5.0,2.0,0.0,7.0,1.0,,,,,472,221.0,168.0,25.0,46.0,5.0,28.0,23.0,3,1.0,0.0,8.0,42.0,2.0,2.0,15.0,2.0,50.0,36.0,56.0,14.0,61.0,4.0,33.0,1521,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,2024-03-26T19:45:00.000Z,Deutsche Bank Park,Espen Eskås,"48,390",Friendlies,7,38.0,,9,4,1.0,1.0,391,88.0,6,2,4.0,1.0,0.0,6.0,3.0,,,,,443,289.0,102.0,23.0,59.0,2.0,20.0,13.0,1,1.0,0.0,6.0,43.0,8.0,1.0,8.0,5.0,37.0,33.0,58.0,4.0,50.0,7.0,78.0,1520,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,2024-03-26T19:45:00.000Z,Deutsche Bank Park,Espen Eskås,"48,390",Friendlies,16,62.0,,11,7,2.0,2.0,669,92.0,12,6,3.0,1.0,0.0,6.0,5.0,,,,,726,337.0,332.0,20.0,61.0,3.0,30.0,12.0,2,2.0,0.0,6.0,75.0,10.0,1.0,11.0,3.0,28.0,24.0,42.0,4.0,50.0,10.0,67.0,1520,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkiye,2024-03-26T19:45:00.000Z,Ernst-Happel-Stadion,Daniele Chiffi,"38,500",Friendlies,25,54.0,,13,9,5.0,1.0,363,85.0,15,4,3.0,1.0,0.0,11.0,2.0,,,,,428,243.0,120.0,27.0,61.0,3.0,19.0,17.0,1,2.0,0.0,11.0,73.0,7.0,1.0,8.0,2.0,35.0,30.0,44.0,5.0,42.0,7.0,44.0,1518,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2024-03-26T19:45:00.000Z,Wembley Stadium,Sebastian Gishamer,"80,733",Friendlies,4,63.0,,19,7,6.0,4.0,603,92.0,13,6,5.0,7.0,0.0,14.0,5.0,,,,,657,293.0,310.0,12.0,55.0,6.0,32.0,15.0,2,2.0,0.0,10.0,77.0,4.0,2.0,6.0,1.0,38.0,31.0,47.0,7.0,54.0,6.0,43.0,1519,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,2024-03-26T19:45:00.000Z,Ernst-Happel-Stadion,Daniele Chiffi,"38,500",Friendlies,40,46.0,,12,3,1.0,0.0,300,82.0,9,2,7.0,2.0,0.0,8.0,4.0,,,,,364,180.0,120.0,20.0,51.0,3.0,50.0,14.0,2,3.0,0.0,16.0,89.0,9.0,1.0,12.0,3.0,45.0,38.0,56.0,7.0,58.0,7.0,54.0,1518,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
