opp,datetime,stadium,attribute_3,attribute_4,competition,ranking,possession,expected_goals_(xg),total_shots,shots_on_target,big_chances,big_chances_missed,accurate_passes,accurate_passes_pc,fouls_committed,corners,shots_off_target,blocked_shots,hit_woodwork,shots_inside_box,shots_outside_box,xg_open_play,xg_set_play,non-penalty_xg,xg_on_target_(xgot),passes,own_half,opposition_half,accurate_long_balls,accurate_long_balls_pc,accurate_crosses,accurate_crosses_pc,throws,offsides,yellow_cards,red_cards,tackles_won,tackles_won_pc,interceptions,blocks,clearances,keeper_saves,duels_won,ground_duels_won,ground_duels_won_pc,aerial_duels_won,aerial_duels_won_pc,successful_dribbles,successful_dribbles_pc,game_id,touches_in_opposition_box,team,opp_ranking,opp_possession,conc_expected_goals_(xg),conc_total_shots,conc_shots_on_target,conc_big_chances,conc_big_chances_missed,conc_accurate_passes,conc_accurate_passes_pc,conc_fouls_committed,conc_corners,conc_shots_off_target,conc_blocked_shots,conc_hit_woodwork,conc_shots_inside_box,conc_shots_outside_box,conc_xg_open_play,conc_xg_set_play,conc_non-penalty_xg,conc_xg_on_target_(xgot),conc_passes,conc_own_half,conc_opposition_half,conc_accurate_long_balls,conc_accurate_long_balls_pc,conc_accurate_crosses,conc_accurate_crosses_pc,conc_throws,conc_touches_in_opposition_box,conc_offsides,conc_yellow_cards,conc_red_cards,conc_tackles_won,conc_tackles_won_pc,conc_interceptions,conc_blocks,conc_clearances,conc_keeper_saves,conc_duels_won,conc_ground_duels_won,conc_ground_duels_won_pc,conc_aerial_duels_won,conc_aerial_duels_won_pc,conc_successful_dribbles,conc_successful_dribbles_pc
Austria,2021-03-25T19:45:00.000Z,Hampden Park,,,World Cup Qualification UEFA 1st Round Grp. F Round 1,39,40.0,0.95,13,4,1.0,0.0,292,75.0,14,6,6.0,3.0,0.0,8.0,5.0,0.41,0.54,0.95,1.04,388,124.0,168.0,30.0,57.0,4.0,18.0,22.0,1,4.0,0.0,9.0,60.0,18.0,1.0,19.0,3.0,56.0,41.0,53.0,15.0,43.0,10.0,59.0,1138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,2021-03-25T19:45:00.000Z,Hampden Park,,,World Cup Qualification UEFA 1st Round Grp. F Round 1,25,60.0,0.9,10,5,1.0,0.0,498,82.0,16,2,3.0,2.0,0.0,6.0,4.0,0.78,0.12,0.9,1.33,604,306.0,192.0,22.0,45.0,2.0,15.0,26.0,0,3.0,0.0,10.0,67.0,10.0,3.0,16.0,2.0,56.0,36.0,47.0,20.0,57.0,9.0,64.0,1138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,2021-03-25T19:45:00.000Z,Estadio Nuevo Los Cármenes,Marco Guida,,World Cup Qualification UEFA 1st Round Grp. B Round 1,8,80.0,0.98,9,2,1.0,0.0,850,92.0,15,3,4.0,3.0,1.0,6.0,3.0,0.98,0.15,0.98,1.14,921,271.0,579.0,47.0,76.0,5.0,18.0,18.0,1,1.0,0.0,5.0,45.0,7.0,0.0,2.0,0.0,34.0,24.0,42.0,10.0,53.0,4.0,50.0,1139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,2021-03-25T19:45:00.000Z,Estadio Nuevo Los Cármenes,Marco Guida,,World Cup Qualification UEFA 1st Round Grp. B Round 1,50,20.0,0.79,1,1,1.0,0.0,147,62.0,10,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.94,237,109.0,38.0,18.0,37.0,0.0,0.0,24.0,2,2.0,0.0,5.0,31.0,13.0,3.0,14.0,1.0,42.0,33.0,58.0,9.0,47.0,3.0,50.0,1139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,2021-03-25T19:45:00.000Z,Friends Arena,Benoit Bastien,,World Cup Qualification UEFA 1st Round Grp. B Round 1,27,55.0,0.98,10,4,1.0,0.0,457,83.0,19,4,5.0,1.0,0.0,7.0,3.0,0.91,0.07,0.98,0.92,552,241.0,216.0,31.0,56.0,3.0,17.0,18.0,0,3.0,0.0,7.0,47.0,13.0,3.0,10.0,3.0,45.0,29.0,44.0,16.0,52.0,6.0,67.0,1140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,2021-03-25T19:45:00.000Z,Friends Arena,Benoit Bastien,,World Cup Qualification UEFA 1st Round Grp. B Round 1,75,45.0,1.05,8,3,2.0,2.0,358,79.0,9,2,2.0,3.0,0.0,5.0,3.0,1.02,0.03,1.05,0.49,451,230.0,128.0,34.0,51.0,6.0,43.0,24.0,1,1.0,0.0,5.0,42.0,8.0,1.0,20.0,3.0,52.0,37.0,56.0,15.0,48.0,10.0,59.0,1140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,2021-03-25T19:45:00.000Z,Schauinsland-Reisen-Arena,Srdjan Jovanovic,,World Cup Qualification UEFA 1st Round Grp. J Round 1,72,19.0,0.57,8,2,1.0,1.0,159,69.0,11,3,4.0,2.0,0.0,5.0,3.0,0.27,0.31,0.57,0.09,232,94.0,65.0,18.0,45.0,2.0,20.0,11.0,1,2.0,0.0,5.0,45.0,6.0,3.0,20.0,2.0,44.0,25.0,44.0,19.0,68.0,6.0,55.0,1132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,2021-03-25T19:45:00.000Z,Stadionul Zimbru,,,World Cup Qualification UEFA 1st Round Grp. F Round 1,133,58.0,1.39,12,4,1.0,1.0,375,76.0,21,3,2.0,6.0,0.0,6.0,6.0,1.04,0.35,1.39,0.85,496,211.0,164.0,18.0,26.0,3.0,14.0,20.0,0,3.0,0.0,7.0,54.0,12.0,3.0,15.0,2.0,56.0,37.0,50.0,19.0,51.0,10.0,63.0,1136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,2021-03-25T19:45:00.000Z,Stadionul Zimbru,,,World Cup Qualification UEFA 1st Round Grp. F Round 1,153,42.0,0.67,8,3,1.0,0.0,254,71.0,15,1,2.0,3.0,1.0,5.0,3.0,0.55,0.13,0.67,0.83,359,133.0,121.0,27.0,35.0,1.0,8.0,23.0,4,3.0,0.0,7.0,54.0,19.0,7.0,27.0,2.0,55.0,37.0,50.0,18.0,49.0,3.0,25.0,1136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,2021-03-25T19:45:00.000Z,Stadio Ennio Tardini,Ali Palabiyik,,World Cup Qualification UEFA 1st Round Grp. C Round 1,73,34.0,0.76,8,3,2.0,2.0,266,74.0,12,5,3.0,2.0,0.0,4.0,4.0,0.76,0.04,0.76,0.54,360,136.0,130.0,32.0,46.0,3.0,18.0,20.0,0,2.0,0.0,8.0,100.0,5.0,0.0,6.0,3.0,36.0,23.0,47.0,13.0,38.0,7.0,64.0,1134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2021-03-25T19:45:00.000Z,Stadio Ennio Tardini,Ali Palabiyik,,World Cup Qualification UEFA 1st Round Grp. C Round 1,9,66.0,2.08,12,5,4.0,4.0,648,88.0,8,0,7.0,0.0,0.0,9.0,3.0,1.75,0.33,2.08,1.37,736,384.0,264.0,36.0,63.0,2.0,50.0,15.0,5,0.0,0.0,4.0,50.0,8.0,2.0,21.0,3.0,47.0,26.0,53.0,21.0,62.0,7.0,58.0,1134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,2021-03-25T19:45:00.000Z,Estadi Nacional,,,World Cup Qualification UEFA 1st Round Grp. I Round 1,164,26.0,0.06,2,1,0.0,0.0,84,47.0,25,1,1.0,0.0,0.0,0.0,2.0,0.03,0.03,0.06,0.22,179,53.0,31.0,12.0,19.0,1.0,11.0,25.0,1,3.0,0.0,14.0,70.0,18.0,4.0,20.0,3.0,48.0,37.0,49.0,11.0,25.0,5.0,56.0,1130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,2021-03-25T19:45:00.000Z,Estadi Nacional,,,World Cup Qualification UEFA 1st Round Grp. I Round 1,66,74.0,1.46,14,4,3.0,3.0,420,82.0,13,6,6.0,4.0,0.0,9.0,5.0,0.5,0.95,1.46,0.47,515,202.0,218.0,32.0,49.0,9.0,29.0,29.0,2,5.0,0.0,7.0,70.0,11.0,0.0,14.0,1.0,72.0,39.0,51.0,33.0,75.0,6.0,35.0,1130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,2021-03-25T19:45:00.000Z,Puskás Aréna,Felix Brych,,World Cup Qualification UEFA 1st Round Grp. I Round 1,28,64.0,0.92,10,3,1.0,0.0,510,84.0,14,3,6.0,1.0,0.0,6.0,4.0,0.88,0.04,0.92,1.41,604,282.0,228.0,26.0,57.0,4.0,25.0,22.0,5,2.0,0.0,9.0,75.0,11.0,3.0,13.0,1.0,53.0,36.0,59.0,17.0,55.0,5.0,45.0,1133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2021-03-25T19:45:00.000Z,Wembley Stadium,Kirill Levnikov,,World Cup Qualification UEFA 1st Round Grp. I Round 1,210,15.0,0.06,2,0,0.0,0.0,93,56.0,6,1,1.0,1.0,0.0,0.0,2.0,0.01,0.05,0.06,0.0,167,55.0,38.0,12.0,26.0,0.0,0.0,9.0,0,0.0,0.0,6.0,46.0,7.0,4.0,28.0,10.0,34.0,27.0,44.0,7.0,28.0,6.0,75.0,1131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,2021-03-25T19:45:00.000Z,Schauinsland-Reisen-Arena,Srdjan Jovanovic,,World Cup Qualification UEFA 1st Round Grp. J Round 1,16,81.0,0.94,15,5,1.0,0.0,972,93.0,8,3,7.0,3.0,1.0,5.0,10.0,0.82,0.12,0.94,1.27,"1,050",476.0,496.0,37.0,64.0,3.0,30.0,11.0,2,1.0,0.0,5.0,45.0,12.0,2.0,7.0,2.0,41.0,32.0,56.0,9.0,32.0,10.0,63.0,1132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,2021-03-25T19:45:00.000Z,Puskás Aréna,Felix Brych,,World Cup Qualification UEFA 1st Round Grp. I Round 1,26,36.0,3.08,10,4,5.0,2.0,236,72.0,20,3,3.0,3.0,0.0,8.0,2.0,2.32,0.76,3.08,2.66,328,159.0,77.0,16.0,28.0,3.0,25.0,20.0,3,3.0,1.0,7.0,64.0,17.0,1.0,19.0,0.0,39.0,25.0,41.0,14.0,45.0,4.0,50.0,1133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marino,2021-03-25T19:45:00.000Z,Wembley Stadium,Kirill Levnikov,,World Cup Qualification UEFA 1st Round Grp. I Round 1,4,85.0,4.96,32,15,9.0,7.0,846,93.0,8,7,13.0,4.0,0.0,24.0,8.0,4.45,0.52,4.96,4.99,910,163.0,683.0,17.0,63.0,11.0,48.0,23.0,4,1.0,0.0,3.0,33.0,3.0,1.0,2.0,0.0,53.0,35.0,56.0,18.0,72.0,21.0,75.0,1131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,2021-03-27T14:00:00.000Z,Stadion Pod Goricom,,,World Cup Qualification UEFA 1st Round Grp. G Round 2,203,23.0,0.81,2,1,1.0,0.0,124,57.0,14,0,0.0,1.0,0.0,1.0,1.0,0.03,0.0,0.03,0.97,219,94.0,30.0,17.0,25.0,0.0,0.0,15.0,1,3.0,0.0,9.0,53.0,12.0,8.0,40.0,9.0,36.0,29.0,40.0,7.0,21.0,3.0,50.0,1141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,2021-03-27T14:00:00.000Z,Olimpiyskiy Stadion Fisht,,,World Cup Qualification UEFA 1st Round Grp. H Round 2,35,44.0,1.29,9,4,3.0,2.0,333,79.0,16,6,4.0,1.0,0.0,6.0,3.0,0.84,0.45,1.29,1.77,420,146.0,187.0,41.0,59.0,5.0,23.0,23.0,2,3.0,0.0,6.0,50.0,13.0,4.0,17.0,2.0,50.0,29.0,48.0,21.0,58.0,7.0,54.0,1142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,2021-03-27T14:00:00.000Z,Olimpiyskiy Stadion Fisht,,,World Cup Qualification UEFA 1st Round Grp. H Round 2,57,56.0,0.57,11,3,0.0,0.0,452,83.0,11,6,4.0,4.0,0.0,6.0,5.0,0.42,0.15,0.57,0.66,543,212.0,240.0,33.0,52.0,4.0,20.0,24.0,0,2.0,0.0,6.0,67.0,11.0,1.0,21.0,2.0,46.0,31.0,52.0,15.0,42.0,9.0,64.0,1142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,2021-03-27T14:00:00.000Z,Stadion Pod Goricom,,,World Cup Qualification UEFA 1st Round Grp. G Round 2,70,77.0,3.51,31,13,4.0,1.0,624,88.0,12,12,9.0,9.0,2.0,19.0,12.0,2.42,1.09,3.51,4.03,707,224.0,400.0,34.0,69.0,13.0,35.0,13.0,2,1.0,0.0,6.0,46.0,6.0,1.0,4.0,0.0,70.0,44.0,60.0,26.0,79.0,17.0,57.0,1141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,2021-03-27T17:00:00.000Z,Stadyen Dynama,,,World Cup Qualification UEFA 1st Round Grp. E Round 2,123,36.0,0.75,10,4,1.0,0.0,131,54.0,27,2,4.0,2.0,0.0,5.0,5.0,0.17,0.58,0.75,1.11,243,65.0,66.0,26.0,31.0,1.0,13.0,21.0,2,4.0,1.0,7.0,35.0,12.0,4.0,33.0,1.0,57.0,35.0,42.0,22.0,41.0,1.0,17.0,1143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,2021-03-27T17:00:00.000Z,Stadion HNK Rijeka,,,World Cup Qualification UEFA 1st Round Grp. H Round 2,10,69.0,1.5,17,3,2.0,1.0,576,85.0,12,7,11.0,3.0,0.0,8.0,9.0,1.36,0.14,1.5,0.75,677,268.0,308.0,40.0,67.0,9.0,23.0,30.0,3,3.0,0.0,10.0,59.0,11.0,0.0,5.0,2.0,53.0,31.0,45.0,22.0,61.0,9.0,60.0,1144,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,2021-03-27T17:00:00.000Z,Stadion HNK Rijeka,,,World Cup Qualification UEFA 1st Round Grp. H Round 2,124,31.0,0.12,3,2,0.0,0.0,222,69.0,7,0,1.0,0.0,0.0,1.0,2.0,0.05,0.06,0.12,0.18,322,147.0,75.0,19.0,28.0,3.0,100.0,15.0,3,0.0,0.0,8.0,50.0,23.0,3.0,21.0,2.0,52.0,38.0,55.0,14.0,39.0,10.0,56.0,1144,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,2021-03-27T17:00:00.000Z,Johan Cruijff Arena,"5,000",,World Cup Qualification UEFA 1st Round Grp. G Round 2,7,76.0,6.44,36,11,8.0,8.0,668,89.0,5,16,13.0,12.0,2.0,25.0,11.0,4.0,2.45,6.44,2.65,750,191.0,477.0,30.0,81.0,14.0,44.0,20.0,2,2.0,0.0,4.0,33.0,10.0,1.0,3.0,0.0,65.0,38.0,63.0,27.0,55.0,16.0,64.0,1145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,2021-03-27T17:00:00.000Z,Johan Cruijff Arena,"5,000",,World Cup Qualification UEFA 1st Round Grp. G Round 2,136,24.0,0.35,4,0,0.0,0.0,148,64.0,11,0,3.0,1.0,1.0,4.0,0.0,0.35,0.0,0.35,0.0,232,91.0,57.0,27.0,47.0,2.0,50.0,9.0,1,2.0,0.0,9.0,56.0,15.0,11.0,39.0,8.0,44.0,22.0,37.0,22.0,45.0,3.0,38.0,1145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Türkiye,2021-03-27T17:00:00.000Z,Estadio La Rosaleda,Alejandro Hernandez,,World Cup Qualification UEFA 1st Round Grp. G Round 2,47,58.0,0.91,13,1,1.0,1.0,537,87.0,14,7,8.0,4.0,1.0,7.0,6.0,0.76,0.15,0.91,0.38,616,216.0,321.0,18.0,56.0,4.0,16.0,17.0,2,2.0,1.0,6.0,55.0,19.0,4.0,3.0,0.0,44.0,26.0,55.0,18.0,51.0,6.0,55.0,1146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,2021-03-27T17:00:00.000Z,Estadio La Rosaleda,Alejandro Hernandez,,World Cup Qualification UEFA 1st Round Grp. G Round 2,40,42.0,1.13,10,3,2.0,1.0,384,83.0,13,3,3.0,4.0,0.0,6.0,4.0,0.97,0.16,1.13,1.07,465,224.0,160.0,31.0,46.0,4.0,50.0,12.0,2,1.0,0.0,5.0,56.0,12.0,4.0,20.0,1.0,38.0,21.0,45.0,17.0,49.0,4.0,57.0,1146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,2021-03-27T17:00:00.000Z,Stadyen Dynama,,,World Cup Qualification UEFA 1st Round Grp. E Round 2,96,64.0,1.83,11,5,3.0,0.0,287,69.0,16,5,2.0,4.0,0.0,8.0,3.0,0.57,0.47,1.04,2.51,418,128.0,159.0,41.0,49.0,6.0,25.0,33.0,4,3.0,0.0,6.0,55.0,0.0,2.0,12.0,2.0,81.0,49.0,58.0,32.0,59.0,13.0,72.0,1143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,2021-03-27T19:45:00.000Z,Stadion Rajko Mitić,,,World Cup Qualification UEFA 1st Round Grp. A Round 2,33,44.0,1.76,16,5,2.0,0.0,294,75.0,16,5,7.0,4.0,0.0,12.0,4.0,1.53,0.23,1.76,1.33,390,167.0,127.0,38.0,59.0,12.0,57.0,22.0,2,2.0,1.0,8.0,73.0,9.0,5.0,16.0,1.0,59.0,27.0,49.0,32.0,78.0,5.0,63.0,1149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,2021-03-27T19:45:00.000Z,Stadion Rajko Mitić,,,World Cup Qualification UEFA 1st Round Grp. A Round 2,6,56.0,1.62,12,5,4.0,2.0,416,82.0,12,4,4.0,3.0,0.0,6.0,6.0,1.49,0.13,1.62,1.23,508,214.0,202.0,35.0,51.0,1.0,8.0,22.0,5,3.0,0.0,4.0,67.0,15.0,4.0,16.0,3.0,37.0,28.0,51.0,9.0,22.0,6.0,60.0,1149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,2021-03-27T19:45:00.000Z,City Arena Trnava,,,World Cup Qualification UEFA 1st Round Grp. H Round 2,171,34.0,0.94,9,4,2.0,1.0,204,74.0,17,1,4.0,1.0,0.0,5.0,4.0,0.9,0.04,0.94,0.69,276,138.0,66.0,21.0,40.0,3.0,23.0,21.0,0,2.0,0.0,11.0,61.0,15.0,5.0,22.0,1.0,55.0,38.0,42.0,17.0,50.0,10.0,53.0,1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,2021-03-27T19:45:00.000Z,City Arena Trnava,,,World Cup Qualification UEFA 1st Round Grp. H Round 2,48,66.0,2.52,14,5,5.0,3.0,480,87.0,13,8,6.0,3.0,0.0,9.0,5.0,0.55,1.97,2.52,1.25,553,269.0,211.0,22.0,51.0,6.0,30.0,30.0,7,2.0,0.0,12.0,63.0,12.0,1.0,5.0,2.0,69.0,52.0,58.0,17.0,50.0,16.0,59.0,1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,2021-03-27T19:45:00.000Z,Aviva Stadium,,,World Cup Qualification UEFA 1st Round Grp. A Round 2,60,63.0,1.35,11,3,2.0,2.0,468,84.0,16,3,6.0,2.0,0.0,9.0,2.0,1.0,0.35,1.35,1.23,559,271.0,197.0,18.0,45.0,8.0,38.0,26.0,2,2.0,0.0,3.0,43.0,7.0,2.0,10.0,3.0,41.0,30.0,49.0,11.0,46.0,7.0,44.0,1148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,2021-03-27T19:45:00.000Z,Aviva Stadium,,,World Cup Qualification UEFA 1st Round Grp. A Round 2,87,37.0,0.34,9,4,0.0,0.0,249,75.0,16,4,3.0,2.0,0.0,1.0,8.0,0.3,0.04,0.34,0.67,333,164.0,85.0,27.0,42.0,2.0,20.0,15.0,2,3.0,0.0,9.0,64.0,6.0,2.0,20.0,3.0,44.0,31.0,51.0,13.0,54.0,5.0,63.0,1148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2021-03-28T13:00:00.000Z,Astana Arena,Alexey Kulbakov,,World Cup Qualification UEFA 1st Round Grp. D Round 2,2,63.0,2.99,15,9,3.0,3.0,636,89.0,17,9,3.0,3.0,0.0,10.0,5.0,1.42,0.78,2.2,2.8,718,287.0,349.0,29.0,63.0,3.0,27.0,20.0,4,1.0,0.0,1.0,17.0,6.0,1.0,4.0,1.0,41.0,31.0,44.0,10.0,63.0,12.0,60.0,1151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2021-03-28T13:00:00.000Z,Astana Arena,Alexey Kulbakov,,World Cup Qualification UEFA 1st Round Grp. D Round 2,103,37.0,0.13,4,1,0.0,0.0,340,80.0,13,0,2.0,1.0,0.0,1.0,3.0,0.1,0.02,0.13,0.09,423,258.0,82.0,16.0,31.0,0.0,0.0,14.0,4,0.0,0.0,13.0,65.0,19.0,4.0,11.0,7.0,46.0,40.0,56.0,6.0,38.0,4.0,57.0,1151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,2021-03-28T16:00:00.000Z,MCH Arena,Aliyar Aghayev,,World Cup Qualification UEFA 1st Round Grp. F Round 2,153,25.0,0.18,4,2,0.0,0.0,158,61.0,7,2,1.0,1.0,0.0,3.0,1.0,0.09,0.09,0.18,0.53,257,129.0,29.0,20.0,31.0,2.0,29.0,19.0,3,1.0,0.0,8.0,44.0,11.0,4.0,10.0,3.0,40.0,32.0,54.0,8.0,38.0,2.0,25.0,1154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,2021-03-28T16:00:00.000Z,MCH Arena,Aliyar Aghayev,,World Cup Qualification UEFA 1st Round Grp. F Round 2,21,75.0,3.78,18,11,6.0,1.0,683,89.0,14,3,3.0,4.0,0.0,14.0,4.0,2.94,0.05,3.0,5.24,765,320.0,363.0,25.0,61.0,5.0,28.0,21.0,2,0.0,0.0,4.0,33.0,15.0,1.0,7.0,2.0,40.0,27.0,46.0,13.0,62.0,9.0,47.0,1154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,2021-03-28T16:00:00.000Z,Vazgen Sargsyan anvan Hanrapetakan Marza,"4,300",,World Cup Qualification UEFA 1st Round Grp. J Round 2,72,60.0,1.18,14,2,1.0,1.0,342,82.0,8,10,6.0,6.0,0.0,9.0,5.0,0.57,0.61,1.18,0.17,417,183.0,159.0,46.0,66.0,15.0,42.0,25.0,2,3.0,0.0,7.0,47.0,8.0,3.0,14.0,4.0,75.0,38.0,58.0,37.0,74.0,10.0,71.0,1153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,2021-03-28T16:00:00.000Z,Vazgen Sargsyan anvan Hanrapetakan Marza,"4,300",,World Cup Qualification UEFA 1st Round Grp. J Round 2,95,40.0,0.48,12,6,0.0,0.0,219,73.0,15,1,3.0,3.0,0.0,5.0,7.0,0.45,0.03,0.48,1.5,299,108.0,111.0,18.0,33.0,2.0,22.0,22.0,2,2.0,0.0,11.0,73.0,5.0,6.0,27.0,2.0,41.0,28.0,42.0,13.0,26.0,8.0,44.0,1153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,2021-03-28T16:00:00.000Z,Air Albania Stadium,Orel Grinfeld,,World Cup Qualification UEFA 1st Round Grp. I Round 2,4,71.0,1.74,9,4,4.0,2.0,703,90.0,12,5,4.0,1.0,1.0,8.0,1.0,1.27,0.47,1.74,1.57,781,315.0,388.0,49.0,67.0,4.0,24.0,25.0,0,2.0,0.0,4.0,25.0,13.0,1.0,10.0,0.0,57.0,39.0,62.0,18.0,60.0,10.0,50.0,1152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2021-03-28T16:00:00.000Z,Air Albania Stadium,Orel Grinfeld,,World Cup Qualification UEFA 1st Round Grp. I Round 2,66,29.0,0.39,2,0,1.0,1.0,232,74.0,13,1,1.0,1.0,0.0,0.0,2.0,0.39,0.0,0.39,0.0,313,143.0,89.0,20.0,36.0,2.0,29.0,11.0,3,3.0,0.0,4.0,31.0,11.0,1.0,17.0,2.0,36.0,24.0,38.0,12.0,40.0,3.0,43.0,1152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,2021-03-28T18:45:00.000Z,NSK Olimpijs'kyj,,,World Cup Qualification UEFA 1st Round Grp. D Round 2,61,39.0,1.19,7,1,1.0,0.0,339,84.0,10,3,4.0,2.0,1.0,6.0,1.0,0.29,0.11,0.4,0.99,405,216.0,123.0,12.0,34.0,1.0,17.0,11.0,2,2.0,0.0,8.0,80.0,14.0,6.0,11.0,3.0,27.0,21.0,45.0,6.0,38.0,2.0,33.0,1164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,2021-03-28T18:45:00.000Z,Arena Naţională,Clement Turpin,,World Cup Qualification UEFA 1st Round Grp. J Round 2,16,66.0,2.84,18,9,5.0,4.0,625,90.0,11,6,6.0,3.0,1.0,12.0,6.0,2.7,0.14,2.84,2.87,696,309.0,316.0,29.0,66.0,4.0,19.0,20.0,5,1.0,0.0,9.0,64.0,18.0,2.0,9.0,2.0,40.0,37.0,54.0,3.0,33.0,13.0,65.0,1162,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,2021-03-28T18:45:00.000Z,Ernst-Happel-Stadion,,,World Cup Qualification UEFA 1st Round Grp. F Round 2,133,29.0,0.94,9,4,1.0,0.0,169,66.0,7,4,3.0,2.0,0.0,4.0,5.0,0.08,0.86,0.94,0.96,256,103.0,66.0,19.0,30.0,7.0,50.0,27.0,0,1.0,0.0,3.0,30.0,11.0,3.0,48.0,5.0,38.0,22.0,42.0,16.0,55.0,4.0,67.0,1156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
