team,datetime,competition,ranking,possession,total_shots,shots_on_target,big_chances,accurate_passes,accurate_passes_pc,fouls_committed,corners,blocked_shots,shots_inside_box,shots_outside_box,passes,passes_own_half,passes_opp_half,accurate_long_balls,accurate_long_balls_pc,accurate_crosses,accurate_crosses_pc,throws,offsides,yellow_cards,red_cards,tackles_won,tackles_won_pc,interceptions,blocks,clearances,keeper_saves,duels_won,ground_duels_won,ground_duels_won_pc,aerial_duels_won,aerial_duels_won_pc,successful_dribbles,successful_dribbles_pc,game_id,touches_in_opposition_box,opp,tournament
San Marino,2021-03-31 18:45:00+00:00,World Cup,66,79.0,26.0,5.0,3.0,563.0,85.0,15.0,15.0,8.0,16.0,10.0,664.0,204.0,359.0,19.0,49.0,12.0,26.0,24.0,3.0,0.0,0.0,11.0,69.0,7.0,2.0,3.0,1.0,59.0,38.0,51.0,21.0,53.0,12.0,67.0,1185,,Albania,1
Faroe Islands,2021-03-31 18:45:00+00:00,World Cup,39,65.0,12.0,6.0,1.0,583.0,88.0,9.0,1.0,0.0,7.0,5.0,664.0,287.0,296.0,32.0,51.0,5.0,22.0,28.0,3.0,1.0,0.0,5.0,83.0,10.0,2.0,10.0,2.0,45.0,29.0,55.0,16.0,50.0,10.0,48.0,1186,,Scotland,1
Scotland,2021-03-31 18:45:00+00:00,World Cup,133,35.0,7.0,2.0,1.0,272.0,77.0,13.0,5.0,2.0,3.0,4.0,355.0,181.0,91.0,30.0,42.0,2.0,17.0,13.0,1.0,1.0,0.0,11.0,65.0,15.0,0.0,24.0,3.0,40.0,24.0,45.0,16.0,50.0,0.0,0.0,1186,,Faroe Islands,1
Kosovo,2021-03-31 18:45:00+00:00,World Cup,8,81.0,24.0,11.0,3.0,845.0,92.0,9.0,9.0,5.0,16.0,8.0,918.0,398.0,447.0,37.0,70.0,5.0,28.0,17.0,3.0,0.0,0.0,10.0,63.0,10.0,0.0,7.0,0.0,48.0,34.0,56.0,14.0,52.0,9.0,53.0,1187,,Spain,1
Spain,2021-03-31 18:45:00+00:00,World Cup,102,19.0,3.0,1.0,1.0,141.0,65.0,10.0,2.0,0.0,1.0,2.0,216.0,89.0,52.0,27.0,48.0,0.0,0.0,12.0,4.0,1.0,0.0,9.0,56.0,13.0,5.0,14.0,8.0,40.0,27.0,44.0,13.0,48.0,3.0,25.0,1187,,Kosovo,1
Kazakhstan,2021-03-31 18:45:00+00:00,World Cup,22,71.0,28.0,10.0,4.0,681.0,89.0,7.0,7.0,6.0,15.0,13.0,764.0,273.0,408.0,25.0,76.0,5.0,26.0,12.0,0.0,2.0,0.0,7.0,70.0,12.0,2.0,7.0,1.0,45.0,35.0,51.0,10.0,77.0,11.0,58.0,1188,,Ukraine,1
Ukraine,2021-03-31 18:45:00+00:00,World Cup,103,29.0,5.0,2.0,0.0,216.0,69.0,14.0,1.0,2.0,1.0,4.0,315.0,133.0,83.0,19.0,30.0,0.0,0.0,16.0,0.0,6.0,0.0,11.0,61.0,18.0,6.0,25.0,9.0,37.0,34.0,49.0,3.0,23.0,10.0,63.0,1188,,Kazakhstan,1
Ukraine,2021-09-01 14:00:00+00:00,World Cup,103,41.0,11.0,6.0,0.0,316.0,78.0,11.0,3.0,2.0,3.0,8.0,407.0,181.0,135.0,28.0,41.0,1.0,6.0,12.0,1.0,2.0,0.0,4.0,44.0,15.0,9.0,13.0,7.0,38.0,23.0,42.0,15.0,50.0,6.0,86.0,1189,,Kazakhstan,1
Kazakhstan,2021-09-01 14:00:00+00:00,World Cup,22,59.0,25.0,9.0,7.0,494.0,86.0,8.0,4.0,9.0,16.0,9.0,576.0,194.0,300.0,22.0,49.0,8.0,42.0,15.0,1.0,2.0,0.0,4.0,67.0,10.0,2.0,8.0,4.0,47.0,32.0,58.0,15.0,50.0,16.0,89.0,1189,,Ukraine,1
Scotland,2021-09-01 18:45:00+00:00,World Cup,21,61.0,11.0,5.0,3.0,599.0,89.0,11.0,2.0,1.0,6.0,5.0,670.0,318.0,281.0,28.0,54.0,4.0,50.0,14.0,1.0,0.0,0.0,3.0,38.0,6.0,0.0,8.0,2.0,42.0,27.0,44.0,15.0,58.0,8.0,47.0,1190,,Denmark,1
