opp,datetime,stadium,attribute_3,attribute_4,competition,ranking,possession,expected_goals_(xg),total_shots,shots_on_target,big_chances,big_chances_missed,accurate_passes,accurate_passes_pc,fouls_committed,corners,shots_off_target,blocked_shots,hit_woodwork,shots_inside_box,shots_outside_box,xg_open_play,xg_set_play,non-penalty_xg,xg_on_target_(xgot),passes,own_half,opposition_half,accurate_long_balls,accurate_long_balls_pc,accurate_crosses,accurate_crosses_pc,throws,offsides,yellow_cards,red_cards,tackles_won,tackles_won_pc,interceptions,blocks,clearances,keeper_saves,duels_won,ground_duels_won,ground_duels_won_pc,aerial_duels_won,aerial_duels_won_pc,successful_dribbles,successful_dribbles_pc,game_id,url,team,opp_ranking,opp_possession,touches_in_opposition_box,conc_expected_goals_(xg),conc_total_shots,conc_shots_on_target,conc_big_chances,conc_big_chances_missed,conc_accurate_passes,conc_accurate_passes_pc,conc_fouls_committed,conc_corners,conc_shots_off_target,conc_blocked_shots,conc_hit_woodwork,conc_shots_inside_box,conc_shots_outside_box,conc_xg_open_play,conc_xg_set_play,conc_non-penalty_xg,conc_xg_on_target_(xgot),conc_passes,conc_own_half,conc_opposition_half,conc_accurate_long_balls,conc_accurate_long_balls_pc,conc_accurate_crosses,conc_accurate_crosses_pc,conc_throws,conc_touches_in_opposition_box,conc_offsides,conc_yellow_cards,conc_red_cards,conc_tackles_won,conc_tackles_won_pc,conc_interceptions,conc_blocks,conc_clearances,conc_keeper_saves,conc_duels_won,conc_ground_duels_won,conc_ground_duels_won_pc,conc_aerial_duels_won,conc_aerial_duels_won_pc,conc_successful_dribbles,conc_successful_dribbles_pc
Belgium,2023-11-19T17:00:00.000Z,Stade Roi Baudouin,Gergő Bogár,"30,276",EURO Qualification Grp. F Round 10,111,25,0.09,1,0,0,0,156,72,7,0,0,1,0,0,1,0.09,0.00,0.09,0.00,216,114,42,17,38,0,0,10,0,1,1,5,63,8,6,27,2,26,21,34,5,45,0,0,1780,https://www.fotmob.com/en-GB/matches/belgium-vs-azerbaijan/2cbi8p#4044776,Azerbaijan,3,75,1,2.46,22,7,6,2,590,91,13,9,8,7,1,16,6,2.39,0.07,2.46,3.83,648,173,417,23,77,3,15,15,62,2,2,0,5,56,3,1,3,0,46,40,66,6,55,24,89
Estonia,2023-11-19T17:00:00.000Z,Friends Arena,Fabio Maresca,"11,201",EURO Qualification Grp. F Round 10,28,62,2.64,15,4,5,3,485,87,13,7,7,4,2,11,4,2.57,0.07,2.64,1.75,558,178,307,22,56,5,17,29,1,1,0,6,60,5,0,10,0,37,26,46,11,46,8,50,1781,https://www.fotmob.com/en-GB/matches/estonia-vs-sweden/2bu7s3#4044777,Sweden,123,38,30,0.05,2,0,0,0,277,79,8,1,2,0,0,1,1,0.03,0.01,0.05,0.00,352,187,90,30,50,3,38,13,14,0,2,0,7,54,9,4,35,3,43,30,54,13,54,7,50
Sweden,2023-11-19T17:00:00.000Z,Friends Arena,Fabio Maresca,"11,201",EURO Qualification Grp. F Round 10,123,38,0.05,2,0,0,0,277,79,8,1,2,0,0,1,1,0.03,0.01,0.05,0.00,352,187,90,30,50,3,38,13,0,2,0,7,54,9,4,35,3,43,30,54,13,54,7,50,1781,https://www.fotmob.com/en-GB/matches/estonia-vs-sweden/2bu7s3#4044777,Estonia,28,62,14,2.64,15,4,5,3,485,87,13,7,7,4,2,11,4,2.57,0.07,2.64,1.75,558,178,307,22,56,5,17,29,30,1,1,0,6,60,5,0,10,0,37,26,46,11,46,8,50
Slovakia,2023-11-19T19:45:00.000Z,Stadion Bilino Polje,Julian Weinberger,"3,800",EURO Qualification Grp. J Round 10,75,44,0.25,5,2,0,0,323,80,16,1,2,1,0,3,2,0.16,0.09,0.25,0.29,404,239,84,40,51,2,22,25,2,2,1,12,67,9,2,12,1,44,38,52,6,32,6,67,1782,https://www.fotmob.com/en-GB/matches/slovakia-vs-bosnia-herzegovina/2v150j#4044605,Bosnia and Herzegovina,45,56,7,1.29,10,3,2,0,436,84,15,7,5,2,0,9,1,0.46,0.83,1.29,1.16,518,248,188,31,55,7,39,26,26,2,1,0,6,55,3,1,8,2,48,35,48,13,68,9,50
Bosnia and Herzegovina,2023-11-19T19:45:00.000Z,Stadion Bilino Polje,Julian Weinberger,"3,800",EURO Qualification Grp. J Round 10,45,56,1.29,10,3,2,0,436,84,15,7,5,2,0,9,1,0.46,0.83,1.29,1.16,518,248,188,31,55,7,39,26,2,1,0,6,55,3,1,8,2,48,35,48,13,68,9,50,1782,https://www.fotmob.com/en-GB/matches/slovakia-vs-bosnia-herzegovina/2v150j#4044605,Slovakia,75,44,26,0.25,5,2,0,0,323,80,16,1,2,1,0,3,2,0.16,0.09,0.25,0.29,404,239,84,40,51,2,22,25,7,2,2,1,12,67,9,2,12,1,44,38,52,6,32,6,67
Luxembourg,2023-11-19T19:45:00.000Z,Rheinpark Stadion,Stéphanie Frappart,"2,241",EURO Qualification Grp. J Round 10,199,43,0.31,6,1,0,0,243,77,21,4,2,3,0,4,2,0.29,0.02,0.31,0.05,317,176,67,21,38,2,11,27,1,3,0,10,56,6,2,17,3,46,38,49,8,38,5,38,1783,https://www.fotmob.com/en-GB/matches/luxembourg-vs-liechtenstein/140203#4044604,Liechtenstein,85,57,7,0.65,9,4,2,1,360,83,16,6,3,2,0,7,2,0.51,0.13,0.65,1.55,436,237,123,35,51,4,31,25,15,3,0,1,8,62,9,3,27,1,53,40,51,13,62,7,37
Liechtenstein,2023-11-19T19:45:00.000Z,Rheinpark Stadion,Stéphanie Frappart,"2,241",EURO Qualification Grp. J Round 10,85,57,0.65,9,4,2,1,360,83,16,6,3,2,0,7,2,0.51,0.13,0.65,1.55,436,237,123,35,51,4,31,25,3,0,1,8,62,9,3,27,1,53,40,51,13,62,7,37,1783,https://www.fotmob.com/en-GB/matches/luxembourg-vs-liechtenstein/140203#4044604,Luxembourg,199,43,15,0.31,6,1,0,0,243,77,21,4,2,3,0,4,2,0.29,0.02,0.31,0.05,317,176,67,21,38,2,11,27,7,1,3,0,10,56,6,2,17,3,46,38,49,8,38,5,38
Iceland,2023-11-19T19:45:00.000Z,Estádio José Alvalade,Anastasios Papapetrou,"45,655",EURO Qualification Grp. J Round 10,6,74,2.10,23,11,4,3,710,90,9,14,8,4,1,16,7,1.63,0.48,2.10,2.80,787,226,484,27,64,6,20,15,3,2,0,6,60,8,2,17,4,45,28,48,17,53,12,55,1784,https://www.fotmob.com/en-GB/matches/portugal-vs-iceland/2d0315#4044606,Portugal,70,26,59,0.45,9,4,0,0,199,72,7,0,3,2,1,6,3,0.40,0.05,0.45,0.86,275,99,100,23,46,1,13,12,17,0,4,0,6,55,12,4,38,9,45,30,52,15,47,11,69
Portugal,2023-11-19T19:45:00.000Z,Estádio José Alvalade,Anastasios Papapetrou,"45,655",EURO Qualification Grp. J Round 10,70,26,0.45,9,4,0,0,199,72,7,0,3,2,1,6,3,0.40,0.05,0.45,0.86,275,99,100,23,46,1,13,12,0,4,0,6,55,12,4,38,9,45,30,52,15,47,11,69,1784,https://www.fotmob.com/en-GB/matches/portugal-vs-iceland/2d0315#4044606,Iceland,6,74,17,2.10,23,11,4,3,710,90,9,14,8,4,1,16,7,1.63,0.48,2.10,2.80,787,226,484,27,64,6,20,15,59,3,2,0,6,60,8,2,17,4,45,28,48,17,53,12,55
Norway,2023-11-19T19:45:00.000Z,Hampden Park,Horațiu Mircea Feșnic,"48,138",EURO Qualification Grp. A Round 10,39,50,1.21,9,2,2,1,390,87,14,6,3,4,0,6,3,0.30,0.13,0.42,1.20,447,183,207,28,62,3,14,14,0,1,0,7,70,5,4,9,3,43,32,48,11,55,4,40,1785,https://www.fotmob.com/en-GB/matches/norway-vs-scotland/2dxuw3#4044564,Scotland,46,50,16,2.20,13,7,4,2,396,87,20,4,3,3,0,10,3,2.10,0.11,2.20,2.50,455,229,167,24,49,6,33,19,24,0,3,0,9,69,8,3,15,0,43,34,52,9,45,7,58
